CatalogueNo,Species ,Individual,Date,Year,Season,State,Sex,SL,PreyAbd,Emp,Dip,Tric,Chironomidae,Simuliidae,Tipulidae ,Blepharicerida ,Diptera_Other,%Emp,%Dip,%Tric,%Chi,%Sim,%Tip,%Bleph,%Dip_Unk
NCSM 75406,1,1,9/10/2013,2013,Autumn,North Carolina,Female,71,78,9,34,1,19,13,2,0,0,11.53846154,43.58974359,1.282051282,24.35897436,16.66666667,2.564102564,0,0
NCSM 75406,1,2,9/10/2013,2013,Autumn,North Carolina,Male,62,86,4,41,0,37,2,2,0,0,4.651162791,47.6744186,0,43.02325581,2.325581395,2.325581395,0,0
NCSM 75406,1,3,9/10/2013,2013,Autumn,North Carolina,Female,64,26,24,1,0,1,0,0,0,0,92.30769231,3.846153846,0,3.846153846,0,0,0,0
NCSM 75406,1,4,9/10/2013,2013,Autumn,North Carolina,Female,64,149,17,65,2,52,13,0,0,0,11.40939597,43.62416107,1.342281879,34.89932886,8.724832215,0,0,0
TU 70479,1,6,6/12/1971,1971,Spring,Virginia,Female,52,27,6,10,1,2,5,2,1,0,22.22222222,37.03703704,3.703703704,7.407407407,18.51851852,7.407407407,3.703703704,0
TU 70479,1,7,6/12/1971,1971,Spring,Virginia,Female,55,27,5,11,0,4,2,3,2,0,18.51851852,40.74074074,0,14.81481481,7.407407407,11.11111111,7.407407407,0
TU 70479,1,9,6/12/1971,1971,Spring,Virginia,Female,58,33,7,13,0,1,7,2,3,0,21.21212121,39.39393939,0,3.03030303,21.21212121,6.060606061,9.090909091,0
TU 70479,1,10,6/12/1971,1971,Spring,Virginia,Female,61,27,4,11,1,4,0,1,6,0,14.81481481,40.74074074,3.703703704,14.81481481,0,3.703703704,22.22222222,0
TU 70479,1,12,6/12/1971,1971,Spring,Virginia,Male,52,4,1,1,1,0,0,1,0,0,25,25,25,0,0,25,0,0
TU 70479,1,13,6/12/1971,1971,Spring,Virginia,Female,51,16,2,7,0,4,0,0,3,0,12.5,43.75,0,25,0,0,18.75,0
TU 70479,1,14,6/12/1971,1971,Spring,Virginia,Female,55,18,2,8,0,2,1,0,5,0,11.11111111,44.44444444,0,11.11111111,5.555555556,0,27.77777778,0
TU 70479,1,15,6/12/1971,1971,Spring,Virginia,Female,51,9,1,4,0,1,2,1,0,0,11.11111111,44.44444444,0,11.11111111,22.22222222,11.11111111,0,0
TU 70479,1,16,6/12/1971,1971,Spring,Virginia,Female,45,29,1,14,0,12,1,1,0,0,3.448275862,48.27586207,0,41.37931034,3.448275862,3.448275862,0,0
UA 6446.13,1,2,11/27/1981,1981,Autumn,Virginia,Female,40,12,0,6,0,3,3,0,0,0,0,50,0,25,25,0,0,0
UA 7944.14,1,1,9/22/1987,1987,Autumn,Virginia,Female,41,4,2,0,2,0,0,0,0,0,50,0,50,0,0,0,0,0
UA 7961.17,1,1,9/21/1987,1987,Autumn,Virginia,Male,64,25,1,12,0,2,10,0,0,0,4,48,0,8,40,0,0,0
UA 7961.17,1,2,9/21/1987,1987,Autumn,Virginia,Female,47,69,3,33,0,16,17,0,0,0,4.347826087,47.82608696,0,23.1884058,24.63768116,0,0,0
UA 7961.17,1,3,9/21/1987,1987,Autumn,Virginia,Juvenile,38,58,3,27,1,7,20,0,0,0,5.172413793,46.55172414,1.724137931,12.06896552,34.48275862,0,0,0
UA 7961.17,1,4,9/21/1987,1987,Autumn,Virginia,Juvenile,33,12,5,3,1,1,2,0,0,0,41.66666667,25,8.333333333,8.333333333,16.66666667,0,0,0
VIMS 10144,1,1,4/24/1998,1998,Spring,Virginia,Female,45,6,1,1,3,0,0,0,1,0,16.66666667,16.66666667,50,0,0,0,16.66666667,0
VIMS 10144,1,2,4/24/1998,1998,Spring,Virginia,Female,45,2,0,1,0,1,0,0,0,0,0,50,0,50,0,0,0,0
VIMS 9391,1,1,4/30/1994,1994,Spring,Virginia,Male,46,42,2,20,0,14,4,0,2,0,4.761904762,47.61904762,0,33.33333333,9.523809524,0,4.761904762,0
VIMS 9391,1,2,4/30/1994,1994,Spring,Virginia,Female,43,48,0,24,0,24,0,0,0,0,0,50,0,50,0,0,0,0
VIMS 9391,1,3,4/30/1994,1994,Spring,Virginia,Female,42,43,1,21,0,21,0,0,0,0,2.325581395,48.8372093,0,48.8372093,0,0,0,0
VIMS 9391,1,4,4/30/1994,1994,Spring,Virginia,Female,45,122,0,61,0,60,1,0,0,0,0,50,0,49.18032787,0.819672131,0,0,0
VIMS 9391,1,5,4/30/1994,1994,Spring,Virginia,Juvenile,37,31,1,15,0,15,0,0,0,0,3.225806452,48.38709677,0,48.38709677,0,0,0,0
VIMS 9391,1,6,4/30/1994,1994,Spring,Virginia,Juvenile,38,18,0,9,0,9,0,0,0,0,0,50,0,50,0,0,0,0
VIMS 9391,1,7,4/30/1994,1994,Spring,Virginia,Juvenile,44,38,0,19,0,13,3,0,3,0,0,50,0,34.21052632,7.894736842,0,7.894736842,0
VIMS 9391,1,8,4/30/1994,1994,Spring,Virginia,Juvenile,37,27,0,13,1,13,0,0,0,0,0,48.14814815,3.703703704,48.14814815,0,0,0,0
