CatalogueNo,Species ,Individual,Date,Year,Season,State,SL,PreyAbd,Emp,Dip,Tric,Chi,Sim,Tip,Diptera_Other,pEmp,pDip,pTric,pChi,pSim,pTip,sqrtPreyAbd,sqrtEmp,sqrtDip,sqrtTric,sqrtChi,sqrtSim,sqrtTip,sqrtPEmp,sqrtPDip,sqrtPTric,sqrtPChi,sqrtPSim,sqrtPTip
APPSU 28388,Fantail,6,5/22/2015,2015,1,2,31,20,0,10,0,4,1,5,0,0,100,0,40,10,50,4.472135955,0,3.16227766,0,2,1,2.236067977,0,0,10,0,6.32455532,3.16227766
APPSU 28388,Fantail,2,5/22/2015,2015,1,2,44,32,4,14,0,13,0,1,0,22.22222222,77.77777778,0,72.22222222,0,5.555555556,5.656854249,2,3.741657387,0,3.605551275,0,1,0,4.714045208,8.819171037,0,8.498365856,0
APPSU 28388,Fantail,1,5/22/2015,2015,1,2,45,60,7,26,1,24,2,0,0,20.58823529,76.47058824,2.941176471,70.58823529,5.882352941,0,7.745966692,2.645751311,5.099019514,1,4.898979486,1.414213562,0,0,4.537426064,8.744746322,1.714985852,8.401680504,2.42535625
APPSU 28795,Fantail,2,3/24/2016,2016,1,2,50,1,1,0,0,0,0,0,0,100,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0
APPSU 28795,Fantail,6,3/24/2016,2016,1,2,42,5,0,1,3,1,0,0,0,0,25,75,25,0,0,2.236067977,0,1,1.732050808,1,0,0,0,0,5,8.660254038,5,0
APPSU 28795,Fantail,5,3/24/2016,2016,1,2,48,9,1,4,0,2,0,2,0,20,80,0,40,0,40,3,1,2,0,1.414213562,0,1.414213562,0,4.472135955,8.94427191,0,6.32455532,0
APPSU 28795,Fantail,3,3/24/2016,2016,1,2,50,13,0,6,1,5,0,1,0,0,85.71428571,14.28571429,71.42857143,0,14.28571429,3.605551275,0,2.449489743,1,2.236067977,0,1,0,0,9.258200997,3.779644731,8.451542547,0
APPSU 28795,Fantail,8,3/24/2016,2016,1,2,39,19,1,9,0,6,1,2,0,10,90,0,60,10,20,4.358898944,1,3,0,2.449489743,1,1.414213562,0,3.16227766,9.486832981,0,7.745966692,3.16227766
APPSU 28795,Fantail,1,3/24/2016,2016,1,2,44,17,1,6,4,3,0,2,1,9.090909091,54.54545455,36.36363636,27.27272727,0,18.18181818,4.123105626,1,2.449489743,2,1.732050808,0,1.414213562,1,3.015113446,7.385489459,6.030226891,5.222329678,0
APPSU 28795,Fantail,7,3/24/2016,2016,1,2,45,20,1,9,1,9,0,0,0,9.090909091,81.81818182,9.090909091,81.81818182,0,0,4.472135955,1,3,1,3,0,0,0,3.015113446,9.045340337,3.015113446,9.045340337,0
APPSU 28795,Fantail,4,3/24/2016,2016,1,2,40,30,0,15,0,11,0,4,0,0,100,0,73.33333333,0,26.66666667,5.477225575,0,3.872983346,0,3.31662479,0,2,0,0,10,0,8.563488386,0
UA 19837.01,Fantail,1,5/17/2017,2017,1,2,57,1,1,0,0,0,0,0,0,100,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0
UA 19837.01,Fantail,2,5/17/2017,2017,1,2,60,2,1,0,1,0,0,0,0,50,0,50,0,0,0,1.414213562,1,0,1,0,0,0,0,7.071067812,0,7.071067812,0,0
UA 19837.01,Fantail,3,5/17/2017,2017,1,2,54,12,6,3,0,2,1,0,0,66.66666667,33.33333333,0,22.22222222,11.11111111,0,3.464101615,2.449489743,1.732050808,0,1.414213562,1,0,0,8.164965809,5.773502692,0,4.714045208,3.333333333
UA 19837.01,Fantail,4,5/17/2017,2017,1,2,41,19,1,4,10,2,0,2,0,6.666666667,26.66666667,66.66666667,13.33333333,0,13.33333333,4.358898944,1,2,3.16227766,1.414213562,0,1.414213562,0,2.581988898,5.163977795,8.164965809,3.651483716,0
UA 19857.01,Fantail,5,5/15/2017,2017,1,2,39,6,2,2,0,2,0,0,0,50,50,0,50,0,0,2.449489743,1.414213562,1.414213562,0,1.414213562,0,0,0,7.071067812,7.071067812,0,7.071067812,0
UA 19857.01,Fantail,4,5/15/2017,2017,1,2,43,7,7,0,0,0,0,0,0,100,0,0,0,0,0,2.645751311,2.645751311,0,0,0,0,0,0,10,0,0,0,0
UA 19857.01,Fantail,1,5/15/2017,2017,1,2,58,9,8,0,1,0,0,0,0,88.88888889,0,11.11111111,0,0,0,3,2.828427125,0,1,0,0,0,0,9.428090416,0,3.333333333,0,0
UA 19857.01,Fantail,3,5/15/2017,2017,1,2,46,18,18,0,0,0,0,0,0,100,0,0,0,0,0,4.242640687,4.242640687,0,0,0,0,0,0,10,0,0,0,0
UA 19857.01,Fantail,2,5/15/2017,2017,1,2,47,31,15,8,0,8,0,0,0,75,40,0,40,0,0,5.567764363,3.872983346,2.828427125,0,2.828427125,0,0,0,8.660254038,6.32455532,0,6.32455532,0
